month,positive,negative,question,neutral
2025-01,18,26,56,193
2025-02,52,53,65,419
2025-03,92,127,145,985
2025-04,142,181,184,1078
2025-05,217,376,357,2376
2025-06,96,159,180,1019
2025-07,84,148,133,822
2025-08,58,75,79,518
2025-09,183,352,319,2109
2025-10,182,313,305,1915
2025-11,184,404,398,2185
2025-12,250,718,547,2549
