month,positive,negative,question,neutral
2025-01,8,14,186,85
2025-02,29,25,302,233
2025-03,51,69,716,513
2025-04,73,62,837,613
2025-05,127,137,1713,1349
2025-06,64,49,753,588
2025-07,45,49,559,534
2025-08,26,35,355,314
2025-09,99,106,1435,1323
2025-10,96,127,1372,1120
2025-11,109,136,1505,1421
2025-12,146,136,1960,1822
